Distal,Shape,Class,Length,Cortex_Percentagem,Thickness,Width,Cortex_Location,Scar_count,Profile,Cross_section,Platform_type,Dorsal_Pattern,Cortex
Natural,Irregular,Flake,30.28000069,NoCortex,5.840000153,18.55999947,,0,Encurvado,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,28.31999969,NoCortex,8.649999619,21.86000061,,0,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,25.56999969,NoCortex,5.659999847,21.76000023,,0,Direito,Irregular,Cortical,Other,No_cortex
Natural,Irregular,Flake,24.92000008,NoCortex,6.28000021,27.54999924,,0,Direito,Irregular,Cortical,Other,No_cortex
Natural,Paralell,Flake,24.75,NoCortex,7.239999771,14.35000038,,0,Direito,Triangular,Multifacetted,Other,No_cortex
Natural,Paralell,Flake,24.43000031,NoCortex,6.090000153,15.06000042,,0,Direito,Triangular,Liso,Other,No_cortex
Natural,Divergent,Flake,23.69000053,NoCortex,3.019999981,20.98999977,,0,Direito,Trapezoidal,Other,Other,No_cortex
Natural,Paralell,Flake,23.48999977,NoCortex,9.390000343,23.37999916,,0,Direito,Flat,Crushed,Other,No_cortex
Natural,Divergent,Flake,22.85000038,NoCortex,3.130000114,21.95000076,,0,Direito,Trapezoidal,Liso,Other,No_cortex
Natural,Irregular,Flake,22.29999924,NoCortex,3.910000086,23.62999916,,0,Irregular,Irregular,Cortical,Other,No_cortex
Overpassed,Divergent,Flake,22.10000038,NoCortex,7.559999943,37.29000092,,0,Encurvado,Irregular,Crushed,Other,No_cortex
Natural,Divergent,Flake,20.93000031,NoCortex,4.960000038,14.60999966,,0,Encurvado,Trapezoidal,Liso,Other,No_cortex
Natural,Irregular,Flake,20.79000092,NoCortex,3.160000086,22.13999939,,0,Direito,Irregular,Liso,Other,No_cortex
Natural,Circular,Flake,20.73999977,NoCortex,7.03000021,22.89999962,,0,Direito,Flat,Liso,Other,No_cortex
Natural,Divergent,Flake,20.67000008,NoCortex,6.96999979,26.37000084,,0,Direito,Flat,Cortical,Other,No_cortex
Natural,Irregular,Flake,19.56999969,NoCortex,3.569999933,14.71000004,,0,Encurvado,Flat,Liso,Other,No_cortex
Natural,Irregular,Flake,19.46999931,NoCortex,5.03000021,17.40999985,,0,Encurvado,Irregular,Crushed,Other,No_cortex
Natural,Paralell,Flake,18.30999947,NoCortex,2.809999943,16.19000053,,0,Direito,Triangular,Crushed,Other,No_cortex
Natural,Irregular,Flake,18.15999985,NoCortex,3.829999924,19.18000031,,0,Direito,Irregular,Cortical,Other,No_cortex
Natural,Divergent,Flake,17,NoCortex,4.050000191,19.19000053,,0,Direito,Triangular,Liso,Other,No_cortex
Natural,Irregular,Flake,15.89999962,NoCortex,10.39000034,27.31999969,,0,Direito,Irregular,Liso,Other,No_cortex
